,Mobile Image Text,Mobile Image Src
0,"Redmi Note 8 (Moonlight White, 64 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
1,"Redmi Note 8 (Neptune Blue, 64 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
2,"Redmi 8A Dual (Sea Blue, 32 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
3,"Redmi Note 8 (Cosmic Purple, 64 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
4,"Redmi 8A Dual (Midnight Grey, 32 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
5,"Mi 10T Pro (Cosmic Black, 128 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
6,"Redmi 8A Dual (Sky White, 32 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
7,"Redmi 9 (Carbon Black, 64 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
8,"Redmi 9A (Nature Green, 32 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
9,"Redmi 9A (Midnight Black, 32 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
10,"Redmi 9 Prime (SunriseFlare, 128 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
11,"Redmi 9 Prime (MatteBlack, 64 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
12,"Redmi Note 9 Pro (Interstellar Black, 128 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
13,"Redmi 9 Prime (MintGreen, 128 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
14,"Redmi 9 Prime (Space Blue, 64 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
15,"Redmi Note 9 (Arctic White, 64 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
16,"Redmi Note 9 (Scarlet Red, 64 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
17,"Redmi Note 9 Pro (Champagne Gold, 128 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
18,"Mi 10T (Lunar Silver, 128 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
19,"Redmi Note 9 (Pebble Grey, 128 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
20,"Redmi Note 9 (Aqua Green, 128 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
21,"Redmi Note 9 Pro (Glacier White, 64 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
22,"Redmi Note 9 Pro (Glacier White, 128 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
23,"Redmi Note 9 Pro (Interstellar Black, 64 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
24,"Redmi Note 9 (Aqua Green, 128 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
25,"Redmi 9 Prime (SunriseFlare, 128 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
26,"Redmi 8A Dual (Midnight Grey, 32 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
27,"Redmi Note 9 Pro (Interstellar Black, 128 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
28,"Redmi 9A (Midnight Black, 32 GB)",//img1a.flixcart.com/www/linchpin/fk-cp-zion/img/placeholder_9951d0.svg
