,ModelName,ModelPrice
0,"Redmi Note 8 (Moonlight White, 64 GB)","₹11,499"
1,"Redmi Note 8 (Neptune Blue, 64 GB)","₹11,499"
2,"Redmi 8A Dual (Sea Blue, 32 GB)","₹6,999"
3,"Redmi Note 8 (Cosmic Purple, 64 GB)","₹11,499"
4,"Mi 10T Pro (Cosmic Black, 128 GB)","₹39,999"
5,"Redmi 8A Dual (Midnight Grey, 32 GB)","₹6,999"
6,"Redmi 8A Dual (Sky White, 32 GB)","₹6,999"
7,"Redmi 9 (Carbon Black, 64 GB)","₹9,707"
8,"Redmi 8 (Emerald Green, 64 GB)","₹9,999"
9,"Redmi 8A Dual (Midnight Grey, 32 GB)","₹8,303"
10,"Redmi 9A (SeaBlue, 32 GB)","₹7,438"
11,"Redmi 9A (Nature Green, 32 GB)","₹7,486"
12,"Redmi 9A (Midnight Black, 32 GB)","₹8,597"
13,"Redmi 9 Prime (SunriseFlare, 128 GB)","₹12,305"
14,"Redmi 9 Prime (SunriseFlare, 64 GB)","₹11,116"
15,"Redmi 9 Prime (MatteBlack, 64 GB)","₹11,130"
16,"Redmi Note 9 Pro (Interstellar Black, 128 GB)","₹15,473"
17,"Redmi 9 Prime (MintGreen, 128 GB)","₹11,748"
18,"Redmi 9 Prime (MatteBlack, 128 GB)","₹12,010"
19,"Redmi 9 Prime (MintGreen, 64 GB)","₹11,150"
20,"Redmi Note 9 (Arctic White, 64 GB)","₹12,950"
21,"Redmi Note 9 (Scarlet Red, 64 GB)","₹12,618"
22,"Redmi Note 9 (Scarlet Red, 128 GB)","₹14,227"
23,"Redmi Note 9 (Arctic White, 128 GB)","₹13,900"
